location,is_empty,loop,num_input,num_valid,move,next_location
"(0, 0)",False,,,,1.0,"(0, 1)"
"(0, 1)",True,0.0,1.0,False,,
"(0, 1)",True,0.0,2.0,False,,
"(0, 1)",True,0.0,3.0,True,,
"(0, 1)",True,0.0,3.0,True,1.0,"(0, 2)"
"(0, 2)",True,1.0,1.0,False,,
"(0, 2)",True,1.0,2.0,True,,
"(0, 2)",True,1.0,2.0,True,1.0,"(0, 3)"
"(0, 3)",True,2.0,1.0,False,,
"(0, 3)",True,2.0,2.0,False,,
"(0, 3)",True,2.0,3.0,False,,
"(0, 3)",True,2.0,4.0,True,,
"(0, 3)",True,2.0,4.0,True,1.0,"(0, 4)"
"(1, 0)",True,3.0,1.0,False,,
"(1, 0)",True,3.0,2.0,False,,
"(1, 0)",True,3.0,3.0,False,,
"(1, 0)",True,3.0,4.0,True,,
"(1, 0)",True,3.0,4.0,True,1.0,"(1, 1)"
"(1, 1)",False,,,,1.0,"(1, 2)"
"(1, 2)",True,4.0,1.0,True,,
"(1, 2)",True,4.0,1.0,True,1.0,"(1, 3)"
"(1, 3)",True,5.0,1.0,False,,
"(1, 3)",True,5.0,2.0,False,,
"(1, 3)",True,5.0,3.0,False,,
"(1, 3)",True,5.0,4.0,False,,
"(1, 3)",True,5.0,,False,-1.0,"(1, 2)"
"(1, 2)",True,4.0,1.0,True,-1.0,"(1, 1)"
"(1, 2)",True,4.0,2.0,False,,
"(1, 2)",True,4.0,3.0,True,,
"(1, 2)",True,4.0,3.0,True,1.0,"(1, 3)"
"(1, 3)",True,5.0,1.0,True,,
"(1, 3)",True,5.0,1.0,True,1.0,"(1, 4)"
"(2, 0)",True,6.0,1.0,False,,
"(2, 0)",True,6.0,2.0,True,,
"(2, 0)",True,6.0,2.0,True,1.0,"(2, 1)"
"(2, 1)",True,7.0,1.0,True,,
"(2, 1)",True,7.0,1.0,True,1.0,"(2, 2)"
"(2, 2)",True,8.0,1.0,False,,
"(2, 2)",True,8.0,2.0,False,,
"(2, 2)",True,8.0,3.0,False,,
"(2, 2)",True,8.0,4.0,False,,
"(2, 2)",True,8.0,,False,-1.0,"(2, 1)"
"(2, 1)",True,7.0,1.0,True,-1.0,"(2, 0)"
"(2, 1)",True,7.0,2.0,False,,
"(2, 1)",True,7.0,3.0,False,,
"(2, 1)",True,7.0,4.0,True,,
"(2, 1)",True,7.0,4.0,True,1.0,"(2, 2)"
"(2, 2)",True,8.0,1.0,True,,
"(2, 2)",True,8.0,1.0,True,1.0,"(2, 3)"
"(2, 3)",False,,,,1.0,"(3, 0)"
"(3, 0)",True,9.0,1.0,False,,
"(3, 0)",True,9.0,2.0,False,,
"(3, 0)",True,9.0,3.0,True,,
"(3, 0)",True,9.0,3.0,True,1.0,"(3, 1)"
"(3, 1)",True,10.0,1.0,True,,
"(3, 1)",True,10.0,1.0,True,1.0,"(3, 2)"
"(3, 2)",False,,,,1.0,"(3, 3)"
"(3, 3)",True,11.0,1.0,False,,
"(3, 3)",True,11.0,2.0,True,,
"(3, 3)",True,11.0,2.0,True,1.0,"(3, 4)"
